Country,Year,Miles_Equator,Political Stability,School Enrollment Female,Life Expency,GDP_Per_Capita,More_than_once_a_week,Once_a_week,Once_a_month,Only_on_special_holy_days,Once_a_year,Less_often,Never_practically_never,Don't know,No answer,other missing,Religousity,Religousity2,Religousity_3,Religousity_4
Sweden,2004,4148.843109,1.299904823,104.952316,80.497561,37730.16,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
Uganda,2004,94.759977,-1.417224765,17.0571003,50.554,1672.49,26.9,52.7,8.7,6.3,0.8,3.5,1,0,0,0,14.27142857,29.43333333,0.883,215.6
North Macedonia,2004,2870.995815,-1.155975223,80.0466614,73.597561,8690.24,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Egypt,2004,1850.618157,-0.629358649,79.6103668,69.271,7614.84,22.4,19.8,2.5,24.9,5.2,0.1,25.1,0,0,0,14.28571429,14.9,0.447,371.4
Argentina,2005,-2650.710693,-0.041774943,96.8009872,74.451,17420.68,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Brazil,2005,-982.215276,-0.263379753,106.214539,71.896,13325.47,21.8,25.9,17.2,3.7,3.4,21.9,5.7,0,0.3,0,14.22857143,21.63333333,0.649,331
Bulgaria,2005,2948.637927,0.14727059,87.3167419,72.5609756,14335.71,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2005,3872.995254,0.82872504,100.234383,80.1926829,40376.31,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2005,-2461.585143,0.842383623,94.1103363,77.63,16504.1,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
Colombia,2005,315.389892,-2.057942867,87.2284622,74.265,10188.96,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2005,2423.722497,0.517519236,97.4788895,78.63,34830.23,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2005,631.005,-1.690383315,18.8290405,56.223,871.55,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2005,4272.76359,1.594946861,114.341919,78.8170732,40083.7,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2005,3189.707022,0.399723917,106.99189,80.1634146,35095.27,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
Georgia,2005,2919.763083,-0.755904913,96.2598267,70.538,7139.01,3.8,13.9,20.9,32,5.9,16.4,7.1,0,0,0,14.28571429,12.86666667,0.386,399.9
Germany,2005,3530.432679,0.88891536,100.913528,78.9317073,37802.39,1,6.9,10.5,16,7.5,10.6,7.9,0.5,2.1,37.1,8.628571429,6.133333333,0.184,660.6
Ghana,2005,548.310363,0.169719294,36.433979,58.719,2714.46,45.1,38,5.7,2.9,0.8,4.2,3.3,0,0,0,14.28571429,29.6,0.888,202.1
Guatemala,2005,1089.059499,-0.835618198,39.7856407,69.762,6524.61,33.8,36.3,11.8,5.9,2.6,4.1,5.2,0,0.2,0,14.24285714,27.3,0.819,241.2
Hong Kong,2005,1545.353532,1.336290479,82.7248993,81.6292683,46818.56,5.5,2.1,2.2,8.5,7.4,26.2,45.5,0,2.5,0,13.91428571,3.266666667,0.098,585.5
Hungary,2005,3254.212086,1.003100395,95.7624817,72.6487805,20727.89,1.6,7.2,5.8,18.1,6,22.8,37.7,0,0.9,0,14.17142857,4.866666667,0.146,544.6
India,2005,1420.964196,-1.013880491,49.01577,64.5,3654.43,21.3,20.4,13.7,19.5,5.8,9.8,4,5.2,0.1,0,13.5,18.46666667,0.554,339.5
Indonesia,2005,-54.459975,-1.51817596,59.8385315,67.334,7718.03,29.7,34.8,8.4,12.6,1.2,10.2,1.5,0.2,0.8,0,14.05714286,24.3,0.729,261.4
Iran,2005,2237.525652,-0.782738864,75.8055496,71.917,17618.5,20.3,13.5,9.4,22.8,6.5,0,22.6,0,4.9,0,13.58571429,14.4,0.432,401.5
Italy,2005,2889.16386,0.489115536,98.9316635,80.7829268,35523.27,7.3,23.8,22.4,24.7,4.1,4.9,11.6,0.4,0.8,0,14.11428571,17.83333333,0.535,362.4
Korea,2005,2477.635233,0.485128582,98.2129593,78.1682927,29946.08,16.9,13.2,9,11.6,5.9,24.5,19,0,0,0,14.3,13.03333333,0.391,426.2
Malaysia,2005,290.523396,0.566449165,84.7113495,73.555,19713.88,67.4,11.1,1.1,11.2,0.3,7.1,1.3,0,0.5,0,14.21428571,26.53333333,0.796,195.4
Mali,2005,1212.377748,0.173916295,19.6370296,52.057,1695.34,56.1,13,4.8,10.8,1.3,10.4,3.3,0,0.3,0,14.24285714,24.63333333,0.739,234.4
Mexico,2005,1630.780569,-0.445820868,84.0333176,75.3,14924.82,11.9,34.2,17.9,10.6,5.2,8.4,11.3,0,0.4,0,14.21428571,21.33333333,0.64,335.5
Morocco,2005,2193.627438,-0.556680739,46.2929802,71.746,5892.29,84.5,5.5,1.5,6.8,0.1,0.6,0.2,0,0.8,0,14.17142857,30.5,0.915,139.9
Netherlands,2005,3597.151677,0.988100886,117.162819,79.3463415,46420.2,2.4,8.6,7,11.3,7.5,4.8,52.6,0.3,1.1,0,13.45714286,6,0.18,532.6
New Zealand,2005,-2822.138433,1.252252102,123.57431,79.8512195,29827.14,4.8,9.4,5.2,7.1,6.5,17,47.7,0,2.2,0,13.95714286,6.466666667,0.194,555.8
Norway,2005,4172.569656,1.295277238,114.313042,80.0414634,61716.6,0.8,3.7,6.2,14.9,15,17.6,41.1,0.2,0.5,0,14.18571429,3.566666667,0.107,560.8
Peru,2005,-634.107723,-0.975715458,81.6064072,72.908,8866.32,10.4,30.1,21.9,12.6,6.8,9.4,7.9,0,0.9,0,14.15714286,20.8,0.624,340.5
Poland,2005,3582.441222,0.363082945,99.2728119,74.995122,18303.35,9.5,47.9,17.6,13.6,3.6,2,5.2,0.4,0.3,0,14.2,25,0.75,284.8
Romania,2005,3170.078109,0.085602649,83.2716827,71.9121951,16782.23,4.4,22.7,18.6,30.7,3,15.5,4.5,0.1,0.6,0,14.2,15.23333333,0.457,374.1
Russia,2005,4245.15669,-1.267701387,82.4651566,65.5297561,20163.61,1.1,3.1,8.1,22.2,13.5,14.4,32.5,3.4,1.2,0,13.55714286,4.1,0.123,539.8
Rwanda,2005,-133.879182,-1.000212431,15.7443895,55.254,1224.79,82.1,12.2,1.3,0.8,1.8,1.6,0.2,0,0,0,14.28571429,31.86666667,0.956,133.6
Serbia,2005,3037.139949,-0.762413561,89.9540329,72.8341463,12632.08,4.3,6.4,15.6,38.8,13.4,7,10.5,3,1.2,0,13.71428571,8.766666667,0.263,436.4
Slovenia,2005,3184.435629,1.092811227,96.9416428,77.6121951,29604.29,1.5,16.6,9.7,26.8,7.3,5.7,29.7,0.5,2.1,0,13.9,9.266666667,0.278,472.5
South Africa,2005,-2108.604258,-0.162092119,90.5263596,53.447,12857.99,16.6,37.8,14.9,5.9,1.1,10.1,13.6,0,0,0,14.28571429,23.1,0.693,321.8
Spain,2005,2791.993023,0.193026617,121.179321,80.1707317,33263.27,1.7,13.9,6.6,14.7,4,11,46.5,0.2,0.4,0,14.05714286,7.4,0.222,524.8
Sweden,2005,4148.843109,1.299904823,103.819672,80.5463415,42158.3,0.8,2.4,4.7,9.5,16.6,15.4,50.5,0,0.1,0,14.27142857,2.633333333,0.079,587.5
Switzerland,2005,3230.454972,1.196782112,92.4630737,81.2365854,54096.81,2.5,9.5,12.3,21.6,9.5,11.9,31.7,0.1,0.8,0,14.14285714,8.1,0.243,493.6
