Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
India,2006,1420.964196,-1.065184236,50.2382011,64.918,3911.434281,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Jordan,2006,2110.376316,-0.762317538,86.8548965,72.763,9625.63906,0,1.3,0.3,0.7,0,97.7,0,0,0,0,0,0,,
Malaysia,2006,290.523396,0.288379699,83.2793579,73.744,19188.36498,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2006,1630.780569,-0.636888444,86.2486801,75.296,14547.64458,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2006,-634.107723,-0.841553807,85.1167603,73.222,8948.761452,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2006,3170.078109,0.148430079,84.2956696,72.1634146,16631.85819,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2006,3037.139949,-0.53756845,90.62146,73.3853659,12533.96547,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2006,-2108.604258,0.047030076,93.6793137,53.795,12565.29277,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2006,2791.993023,-0.150648654,121.06974,80.8219512,32092.36482,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
Sweden,2006,4148.843109,1.293933988,103.323479,80.7487805,40279.4616,25,1.6,0.3,0,0,0.4,0,0,3.2,68.8,0,0.7,,
Switzerland,2006,3230.454972,1.268117428,93.1368027,81.4902439,53354.00464,19.1,36.6,37.8,0,0.6,1.6,0,0,0,3.7,0,0.7,,
Thailand,2006,1095.032208,-1.130200148,76.4392471,72.499,12188.34839,0.1,0,0.1,0,0.1,2.5,0,96.8,0,0.1,0,0.2,,
Ukraine,2006,3338.180877,-0.036877617,96.1763687,68.077561,8093.555664,25.7,7.2,0.4,60.6,0.7,0.3,0,0.2,0,0,2.2,2.9,,
United Kingdom,2006,3821.085519,0.667080104,99.7673416,79.2487805,35212.42048,47,10.9,25.1,0.3,0.3,7.2,0.9,0.4,2.1,3.1,0.1,1.5,,
Uruguay,2006,-2244.071751,0.898599565,108.505882,76.046,15460.37311,55,33.8,6.9,0,0.3,0,0.1,0.2,0,3.7,0,0,,
Argentina,2007,-2650.710693,0.097796634,96.9386215,74.787,18063.91434,14.5,75.5,0.3,0,0.2,0,0.2,6.6,0,1.7,0,0.9,,
Ethiopia,2007,631.005,-1.806409359,26.0020809,58.467,1028.436486,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2007,3189.707022,0.563000798,106.790291,81.1121951,35902.90311,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Germany,2007,3530.432679,0.995823801,100.868668,79.5341463,38952.6946,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2007,548.310363,-0.073061265,42.3754005,59.741,2974.159419,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2007,1089.059499,-0.753424942,43.5954208,70.409,6618.916031,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2007,3254.212086,0.747096717,95.894783,73.1512195,21751.83384,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
India,2007,1420.964196,-1.154295802,53.3059692,65.35,4237.208788,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Iraq,2007,2292.400179,-2.771050692,46.0039101,68.13,12718.4112,0,0.1,0,0.1,0,61.8,0,0,0.6,37.2,0.1,0.1,,
Jordan,2007,2110.376316,-0.300741792,86.8393326,72.931,9461.328429,0,1.3,0.3,0.7,0,97.7,0,0,0,0,0,0,,
Malaysia,2007,290.523396,0.193307161,80.6319275,73.931,20511.00574,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2007,1630.780569,-0.729851604,87.5231018,75.255,15255.01905,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2007,-634.107723,-0.774885893,88.3636169,73.528,9731.487772,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2007,3170.078109,0.198067933,87.3059998,72.5658537,16976.25909,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2007,3037.139949,-0.591357946,90.8078995,73.6317073,12798.27213,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2007,-2108.604258,0.215346545,94.9352264,54.452,12913.54048,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2007,2791.993023,-0.27673164,120.242722,80.8731707,31682.7131,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
