Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Burkina Faso,2006,844.444977,0.155799553,12.6050596,54.063,1410.772645,10.6,5.9,8.3,8.1,10.2,23.6,6.2,4.5,4.3,9.1,5.7,2.4,1394,5.7,2.66,0.431,0.445708376
Uruguay,2006,-2244.07175,0.898599565,108.505882,76.046,15460.37311,27.2,9.6,23,16.2,9.4,7,1.6,1.2,0.5,1.8,0,2.7,973,7.79,2.01,0.854,0.831548199
Argentina,2007,-2650.71069,0.001967763,96.3841476,74.62,16330.6328,30.7,9.6,19,13.7,8,8.8,2,0.9,0.2,1.6,4.7,0.8,947,7.89,2.05,0.81,0.842872008
Bulgaria,2007,2948.637927,0.39442119,87.9584579,72.6121951,14181.15468,5.5,5.9,14,14.7,13.4,18.2,10.6,7.3,5.1,3.8,1.4,0.1,986,5.81,2.28,0.535,0.542046606
Canada,2007,3872.995254,1.034956574,100.669502,80.3439024,38865.41346,16.7,15,28,15.5,10.1,9.9,1.8,0.8,0.6,0.7,0.9,0,2144,7.63,1.79,0.853,0.86074672
Chile,2007,-2461.58514,0.613005877,94.2091827,77.865,16068.03767,21.5,8.5,16,14.1,12.9,11,7.5,2.2,1.6,0.9,3.1,0.4,965,7.18,2.22,0.73,0.750256937
China,2007,2474.45454,-0.540030122,70.9691467,73.271,8305.760185,21,11,20,11.3,10.2,8.9,3.7,3.2,1.9,2.7,6.3,0.1,1863,7.29,2.35,0.735,0.78358209
Colombia,2007,315.389892,-1.90479672,91.1382294,74.5,10256.39082,33.2,18,19,10.1,5.1,5.4,2.7,1.9,1.2,2.4,0.8,0,3002,8.04,2.2,0.854,0.860887097
Cyprus,2007,2423.722497,0.539664984,97.4348831,78.764,33884.87891,20.9,14,22,16.2,9,9.7,3.9,2.4,0.7,1.7,0,0,1050,7.49,2.1,0.821,0.821
Ethiopia,2007,631.005,-1.740132213,22.6457901,57.334,928.3920242,6.3,5.7,13,20.1,19.5,16.5,6.1,6.7,3.1,2.3,0,0.3,1495,6.17,2.08,0.646,0.644067797
Finland,2007,4272.76359,1.501111031,113.819412,79.2146341,37972.27005,9.1,19,29,19.9,9.4,7.3,2.8,2,0.8,0.6,0,0,1014,7.46,1.74,0.864,0.864
France,2007,3189.707022,0.595505774,106.92614,80.8121951,34678.06232,9.9,9,18,19.1,12.6,20,5.1,3.1,1.3,1.8,0.1,0.1,999,6.68,2.05,0.686,0.686
Georgia,2007,2919.763083,-0.966098785,99.2053909,70.635,6984.247646,15.1,4.7,14,12.8,10,19.1,6.9,4.1,2.3,4.7,5.8,0.4,1407,6.4,2.48,0.566,0.598308668
Germany,2007,3530.432679,1.025069594,101.511398,79.1317073,36815.84405,10.7,11,18,19.3,13.3,13.5,5.9,4.3,1.6,1.4,0.9,0.4,2037,6.8,2.09,0.723,0.726633166
